INFO 2026-01-22 21:31:53,686 autoreload 11344 23732 Watching for file changes with StatReloader
INFO 2026-01-22 22:06:54,112 autoreload 23808 25968 Watching for file changes with StatReloader
INFO 2026-01-22 22:07:00,584 log 23808 26260 "GET / HTTP/1.1" 200 12
WARNING 2026-01-22 22:07:01,284 log 23808 26260 "GET /favicon.ico HTTP/1.1" 404 5302
INFO 2026-01-22 22:07:11,957 log 23808 12664 "GET /admin HTTP/1.1" 301 0
INFO 2026-01-22 22:07:12,020 log 23808 12664 "GET /admin/ HTTP/1.1" 302 0
INFO 2026-01-22 22:07:12,865 log 23808 12664 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4113
INFO 2026-01-22 22:07:13,317 log 23808 12664 "GET /static/admin/css/base.css HTTP/1.1" 200 23100
INFO 2026-01-22 22:07:13,338 log 23808 4160 "GET /static/admin/css/responsive.css HTTP/1.1" 200 16273
INFO 2026-01-22 22:07:13,341 log 23808 11812 "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2026-01-22 22:07:13,342 log 23808 1160 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 3538
INFO 2026-01-22 22:07:13,347 log 23808 19812 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2026-01-22 22:07:13,377 log 23808 6452 "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2026-01-22 22:07:13,384 log 23808 19812 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2026-01-22 22:07:26,718 log 23808 13956 "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4304
INFO 2026-01-22 22:07:34,857 log 23808 13956 "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4303
INFO 2026-01-22 22:08:01,872 log 23808 18624 "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4322
INFO 2026-01-22 22:08:10,456 log 23808 21752 "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4322
